id,Title,Year,Age,IMDb,RTScore,Netflix,Hulu,Prime,Disney,Type
355,Down to Earth with Zac Efron,2020,7,8.1,67,1,0,0,0,1
356,Ancient Aliens,2010,7,7.2,67,1,1,1,0,1
357,Slasher,2016,18,6.7,67,1,0,0,0,1
358,Ray,2021,,7.3,67,1,0,0,0,1
359,Time: The Kalief Browder Story,2017,16,8.5,67,1,0,0,0,1
360,Away,2020,16,6.6,67,1,0,0,0,1
361,No Tomorrow,2016,7,7.3,67,1,0,0,0,1
362,Locked Up,2015,18,8.2,67,1,0,0,0,1
363,The Frankenstein Chronicles,2015,16,7.3,67,1,0,0,0,1
364,The Ranch,2016,16,7.5,67,1,0,0,0,1
365,Cursed,2020,18,5.9,67,1,0,0,0,1
366,Wu Assassins,2019,18,6.5,67,1,0,0,0,1
367,Mr. Sunshine,2018,18,8.8,67,1,0,0,0,1
368,The Unicorn,2019,7,7.2,67,1,1,0,0,1
369,Anohana: The Flower We Saw That Day,2011,16,8.2,67,1,0,0,0,1
370,Alice in Borderland,2020,,7.7,67,1,0,0,0,1
371,The Challenge,1998,16,7.7,67,1,1,1,0,1
372,Gypsy,2017,18,6.8,67,1,0,0,0,1
373,Fuller House,2016,7,6.7,67,1,0,0,0,1
374,How to Become a Tyrant,2021,,7.4,67,1,0,0,0,1
375,Killer Inside: The Mind of Aaron Hernandez,2020,18,7.4,67,1,0,0,0,1
376,RESIDENT EVIL: Infinite Darkness,2021,18,5.8,67,1,0,0,0,1
377,1983,2018,18,6.8,67,1,0,0,0,1
378,Wet Hot American Summer: First Day of Camp,2015,16,7.4,67,1,0,0,0,1
379,The Baker and the Beauty,2020,16,7.4,67,1,0,1,0,1
380,Spinning Out,2020,18,7.6,67,1,0,0,0,1
381,Trinkets,2019,18,7.1,67,1,0,0,0,1
382,Insatiable,2018,18,6.5,67,1,0,0,0,1
383,The Chalet,2018,18,7.0,67,1,0,0,0,1
384,We Bare Bears,2015,7,7.9,67,1,1,0,0,1
385,Gurren Lagann,2007,16,8.3,66,1,0,0,0,1
386,Friends from College,2017,18,6.9,66,1,0,0,0,1
387,Jericho,2006,16,7.3,66,1,0,0,0,1
388,Tidelands,2018,18,7.0,66,1,0,0,0,1
389,Dear White People,2017,18,6.2,66,1,1,0,0,1
390,Dare Me,2019,18,6.7,66,1,0,0,0,1
391,Ouran High School Host Club,2006,16,8.2,66,1,1,0,0,1
392,Scooby-Doo! Mystery Incorporated,2010,7,8.0,66,1,0,0,0,1
393,The Untamed,2019,16,9.0,66,1,0,0,0,1
394,Stranger,2017,18,8.6,66,1,0,0,0,1
395,El Chapo,2017,18,7.8,66,1,0,0,0,1
396,Great News,2017,7,7.0,66,1,0,0,0,1
397,The Get Down,2016,16,8.3,66,1,0,0,0,1
398,The Naked Director,2019,18,7.7,66,1,0,0,0,1
399,Rise of Empires: Ottoman,2020,18,7.9,66,1,0,0,0,1
400,Club de Cuervos,2015,18,8.2,66,1,0,0,0,1
401,My Mister,2018,,9.1,66,1,0,0,0,1
402,Toradora!,2008,16,8.0,66,1,0,1,0,1
403,The Baby-Sitters Club,2020,7,7.4,66,1,0,1,0,1
404,Carole & Tuesday,2019,7,7.9,66,1,0,0,0,1
405,Van Helsing,2016,16,6.2,66,1,0,0,0,1
406,Vincenzo,2021,,8.5,66,1,0,0,0,1
407,The Night Shift,2014,16,7.4,66,1,0,0,0,1
408,"Pablo Escobar, The Drug Lord",2012,18,8.5,66,1,0,0,0,1
409,No Game No Life,2014,16,7.8,66,1,0,0,0,1
410,The King: Eternal Monarch,2020,16,8.3,66,1,0,0,0,1
411,Eden,2021,7,6.7,65,1,0,1,0,1
412,Stateless,2020,16,7.6,65,1,0,0,0,1
413,High Score,2020,16,7.4,65,1,0,0,0,1
414,Hospital Playlist,2020,,8.7,65,1,0,0,0,1
415,Dash & Lily,2020,7,8.0,65,1,0,0,0,1
416,The Confession Tapes,2017,16,7.5,65,1,0,0,0,1
417,Black Butler,2008,18,7.8,65,1,1,0,0,1
418,The Rain,2018,18,6.3,65,1,0,0,0,1
419,Love Is Blind,2020,18,6.1,65,1,0,1,0,1
420,Trial by Media,2020,16,7.2,65,1,0,0,0,1
421,Wormwood,2017,16,7.0,65,1,0,0,0,1
422,Fear City: New York vs The Mafia,2020,18,7.1,65,1,0,0,0,1
423,Sorjonen,2016,18,7.6,65,1,0,0,0,1
424,Crashing,2016,,7.7,65,1,0,0,0,1
425,Forged in Fire,2015,7,8.4,65,1,1,1,0,1
426,Baby,2018,18,6.8,65,1,0,0,0,1
427,Sweet Home,2020,,7.4,65,1,0,0,0,1
428,The Disastrous Life of Saiki K.,2016,16,8.3,65,1,0,0,0,1
429,The Innocence Files,2020,18,8.0,65,1,0,0,0,1
430,BNA,2020,16,7.2,65,1,0,0,0,1
431,The Mist,2017,16,5.4,65,1,0,0,0,1
432,Halston,2021,18,7.5,65,1,0,1,0,1
433,Shaun the Sheep,2007,all,8.2,65,1,0,1,0,1
434,The Universe,2007,16,8.7,65,1,0,1,0,1
435,Self Made: Inspired by the Life of Madam C.J. Walker,2020,18,7.3,65,1,0,0,0,1
436,Shtisel,2013,16,8.6,65,1,0,0,0,1
437,The Boss Baby: Back in Business,2018,7,6.5,65,1,0,0,0,1
438,Puella Magi Madoka Magica,2011,16,8.3,65,1,1,0,0,1
